url,id,cyclomatic_complexity,conditional_statements,physical_lines,non_blank_lines,lines_of_code,statements,if_statements,switch_statements,case_labels,ternary_expressions,loops,catch_clauses,boolean_operators,max_nesting_depth,method_calls,return_statements,throw_statements,break_continue,variable_declarations,distinct_variables,field_variables,parameter_variables,local_variables,unresolved_names,ast_nodes
https://github.com/OpenLiberty/ci.common/blob/b48d061d33b28b6dd5d48f52f25e032e3fc45614/src/main/java/io/openliberty/tools/common/plugins/util/DevUtil.java#L4358-L4450,OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L4358_L4450,33,16,93,90,70,44,16,0,0,0,0,1,15,6,47,0,0,0,2,20,10,5,5,5,396
https://github.com/apache/commons-codec/blob/634ac7caba17b3610e8fe3dd19f9f05faf4d1f94/src/main/java/org/apache/commons/codec/language/DaitchMokotoffSoundex.java#L477-L536,apache-commons-codec-634ac7caba17b3610e8fe3dd19f9f05faf4d1f94-DaitchMokotoffSoundex-L477_L536,18,8,60,49,45,34,6,0,0,2,5,0,4,6,18,0,0,4,15,18,1,1,16,2,317
https://github.com/leonhad/paradoxdriver/blob/de3a6ad18b6c7f1d461383876339dc8086beaead/src/main/java/com/googlecode/paradox/planner/plan/TableJoiner.java#L99-L121,leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-TableJoiner-L99_L121,6,2,23,18,18,13,2,0,0,0,2,0,1,3,11,0,0,1,3,10,0,5,5,2,140
https://github.com/jahlborn/jackcess/blob/22bf8a8642c84fc500f5c66ef59de1f7211f93a3/src/main/java/com/healthmarketscience/jackcess/impl/CompoundOleUtil.java#L105-L114,jahlborn-jackcess-22bf8a8642c84fc500f5c66ef59de1f7211f93a3-CompoundOleUtil-L105_L114,5,2,10,10,10,7,2,0,0,0,1,0,1,3,4,0,0,1,1,4,0,1,3,0,71
https://github.com/fabric8io/docker-maven-plugin/blob/40371e754a6f3122af6d3019508c364627580935/src/main/java/io/fabric8/maven/docker/util/VolumeBindingUtil.java#L174-L206,fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-VolumeBindingUtil-L174_L206,12,5,33,32,32,22,5,0,0,0,1,2,3,4,15,0,3,0,5,9,2,2,5,1,244
https://github.com/apache/dubbo-hessian-lite/blob/ca001b4658227d5122f85bcb45032a0dac4faf0d/src/main/java/com/alibaba/com/caucho/hessian/io/Hessian2Input.java#L361-L374,apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-Hessian2Input-L361_L374,3,0,14,11,11,7,0,0,0,0,1,1,0,2,7,0,1,0,1,5,1,1,3,1,70
https://github.com/apache/commons-imaging/blob/d3b3b534198d2b0b631379515e2b53905b425e70/src/main/java/org/apache/commons/imaging/formats/jpeg/JpegImageParser.java#L171-L177,apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-JpegImageParser-L171_L177,2,0,7,5,5,4,0,0,0,0,1,0,0,1,5,0,0,0,2,3,0,1,2,1,65
https://github.com/maven-nar/nar-maven-plugin/blob/e747b5ee080b243e0b817f722a43c9c203bb4df8/src/main/java/com/github/maven_nar/Msvc.java#L712-L782,maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-Msvc-L712_L782,24,17,71,69,61,39,17,0,0,0,4,0,2,8,36,0,0,4,8,9,5,0,4,2,354
https://github.com/apache/commons-imaging/blob/d3b3b534198d2b0b631379515e2b53905b425e70/src/main/java/org/apache/commons/imaging/formats/png/PngImageParser.java#L102-L113,apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-PngImageParser-L102_L113,3,1,12,9,9,7,1,0,0,0,1,0,0,1,10,1,0,0,2,5,0,1,4,1,79
https://github.com/apache/xmlgraphics-commons/blob/d5d782f9fce99774ef206a4a4437fc86f711d9d9/src/main/java/org/apache/xmlgraphics/java2d/color/profile/NamedColorProfileParser.java#L103-L139,apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-NamedColorProfileParser-L103_L139,6,2,37,35,32,22,1,1,2,0,2,0,0,2,14,0,2,2,11,17,1,3,13,2,258
https://github.com/apache/commons-imaging/blob/d3b3b534198d2b0b631379515e2b53905b425e70/src/main/java/org/apache/commons/imaging/formats/tiff/TiffImageParser.java#L102-L105,apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-TiffImageParser-L102_L105,2,0,4,4,4,3,0,0,0,0,1,0,0,1,2,0,0,0,2,5,0,1,4,0,36
