project,parallel_core,parallel_generation,parallel_reduction,parallel_before_tests,parallel_after_tests,coverage_core,coverage_generation,coverage_reduction,coverage_before_tests,coverage_after_tests,mutation_core,mutation_generation,mutation_reduction,mutation_before_tests,mutation_after_tests
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-ExpressionParser-L173_L189,4664,1033695,139590,87,17,3080,185399,38,28,3,6645,445923,124445,33,8
ripreal-V8LogScanner-3789156a0ab07c4b2cdd91e8165ca733ecc01905-CmdAddGroupBy-L26_L28,3987,840961,27453,14,12,2764,151894,18,4,1,5119,155133,26789,4,1
ripreal-V8LogScanner-3789156a0ab07c4b2cdd91e8165ca733ecc01905-LogBuilder-L656_L663,4034,869783,47448,14,12,2879,1303378,74,10,1,5350,223740,28055,3,1
ripreal-V8LogScanner-3789156a0ab07c4b2cdd91e8165ca733ecc01905-LogBuilder-L667_L673,4045,915987,48394,27,27,2840,1336007,72,27,1,5362,221130,27143,4,1
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L1019_L1024,6217,897464,78238,164,16,4003,1644374,17,142,1,7405,222220,69046,26,4
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L1026_L1031,6095,991416,78609,164,15,3922,182335,19,26,2,7485,222666,69039,26,4
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L1033_L1038,6177,268496,76466,139,12,3909,182342,25,26,2,7541,221517,69874,26,4
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L600_L610,6252,333357,73841,126,9,3928,177766,21,22,2,7668,364652,64973,24,3
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L972_L998,6287,235953,510430,291,58,4046,1166661,29,284,2,7587,1560494,501497,268,33
Sayi-swagger-diff-e6abc1483ec90859aeba9d9ad4e7fd0368352d47-ModelDiff-L130_L133,2775,973588,28556,98,72,2262,148649,23,12,1,5494,149461,25516,12,1
sbesada-java.math.expression.parser-cc92f58f6074b21cf6f5d4056b7f7cc5168f50af-ComplexFunction-L102_L107,2243,902404,57416,222,180,1881,146915,24,16,1,5120,217564,31181,20,1
sbesada-java.math.numerical.library-a2f18eda6de69c937183771d3b1f268e606a8871-FunctionX-L321_L326,2469,725609,56505,205,17,2093,149992,27,25,3,5146,235809,38191,30,4
sbesada-java.math.numerical.library-a2f18eda6de69c937183771d3b1f268e606a8871-FunctionXs-L414_L425,2663,725210,104231,353,15,2025,149789,25,16,3,5196,237606,39025,23,4
seansegal-tincisnotcatan-f7d098c51037cb586147c1bbd5b18c2239df7b32-PlaceInitialSettlement-L90_L97,3693,161475,32276,25,7,2735,158778,27,23,3,5270,164774,32004,23,3
smola-galimatias-0771a10ef5021181fc172b95ac39e9f4c7ada2e8-URLParser-L472_L479,2908,1051090,66682,267,14,2273,155964,24,56,3,5564,166821,38640,56,3
sorra-TraceSonar-53ece361e0e14027d803ecbeb9f3fea76f7176ff-Traceback-L49_L55,2237,160766,38639,33,22,1996,150688,28,10,2,4996,157544,34276,10,2
SpringStudent-GyJdbc-0ca78eb623487f137d94eb719a94464d2d0cbbe8-SQL-L108_L114,3852,366472,37531,189,11,2668,162552,26,12,2,6272,232387,29178,12,2
spullara-java-future-jdk8-5925719802af19ccc6602651fc243b2ff3726b4b-CompletableFutureTest-L356_L364,6959,909401,44485,140,5,2074,2215570,8,128,0,5286,153768,33751,12,4
sranka-jdbcimage-4b16de3a349a30e5d69633a0fea6e08d486392b9-MainToolBase-L387_L390,3415,1067062,32252,130,130,2690,152001,20,7,1,6006,316064,26568,14,1
sranka-jdbcimage-4b16de3a349a30e5d69633a0fea6e08d486392b9-MultiTableConcurrentImport-L39_L44,3383,1051629,33984,132,8,2700,1819556,56,133,3,5957,333980,28532,22,3
StarlangSoftware-Corpus-c0b50a746e5179df1b236273bcf1ec6d1cc988c7-SentenceSplitter-L319_L362,2235,1174449,130270,377,302,1981,1752901,114,377,14,5189,245419,51945,63,8
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmMorphologicalAnalyzer-L419_L434,2817,1153025,73371,28,19,2188,2254070,87,29,5,7833,313790,69056,21,5
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmMorphologicalAnalyzer-L494_L502,2817,1158709,30444,19,7,2255,2345591,69,22,3,7713,339518,28909,14,3
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmParse-L615_L623,2808,1169566,57757,80,16,2215,153474,28,11,3,5532,177016,49464,11,4
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmParse-L631_L637,2845,1199658,55135,199,14,2208,151912,31,12,3,5527,162312,36309,12,3
