project,EXTs_time_all,EXTs_time_success,CONs_time_all,CONs_time_success,EXTr_time_all,EXTr_time_success,CONc_time_all,CONc_time_success,CONrc_time_all,CONrc_time_success,INd_time_all,INd_time_success,INs_time_all,INs_time_success,INr_time_all,INr_time_success
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-ProblemDataHandler-L176_L181,230849,231348,243296,243840,1916747,0,55640,0,647691,0,73944,0,230363,230706,111325,0
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-ProblemDataHandler-L186_L192,202084,202689,241399,241991,1622524,1623278,59485,0,652209,0,77306,0,182635,0,115643,0
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-XParser-L331_L339,191161,191656,179913,0,116709,117288,40360,0,643602,0,123682,123971,187465,0,113620,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-ChineseWordTokenizer-L139_L141,298595,299104,69852,0,1900610,0,34681,0,1767366,1767881,71969,0,467448,0,101519,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-ChineseWordTokenizer-L148_L150,296948,297442,69653,0,1900381,0,34007,0,2021838,2022336,67785,0,464949,0,100934,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-DictionaryFactory-L211_L220,422386,422914,181167,0,168260,168814,38103,0,1495474,1496004,66990,0,341815,0,99330,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-DictionaryTools-L101_L113,345157,345638,183037,0,1903032,0,35171,0,1852659,1853259,66723,0,205223,0,107206,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-PureEnglish-L82_L88,361111,361600,182140,0,1901456,0,34517,0,1786301,1786817,71624,0,1968866,1969132,3763965,3764240
yuch7-cwlexec-08b3e8ac1017f5a43d4d33699d1c9d4cb32a89e1-IOUtil-L469_L475,184086,184684,186020,186513,106799,107353,38834,0,827242,827780,57558,58012,88436,0,149607,0
Zettelkasten-Team-Zettelkasten-b68dc7638b9f9287c9528d4171a9014e8ba3eed3-ImportFromZkn-L621_L638,215758,216265,147014,147502,127414,127957,51389,0,696814,697338,62553,0,217042,0,111664,0
Zettelkasten-Team-Zettelkasten-b68dc7638b9f9287c9528d4171a9014e8ba3eed3-ImportFromZkn-L771_L806,207952,208453,113755,114241,252941,253425,49998,0,725234,725757,56319,0,213866,0,107344,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http1Connection-L128_L134,224793,225278,466376,466864,111748,0,48984,0,244644,0,1863612,1864019,252576,0,51786,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http1Connection-L176_L182,238471,238968,318132,318599,108913,0,48627,0,524918,0,544804,545076,265087,0,49341,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http1Connection-L97_L108,201642,202139,204862,205358,108897,0,48730,0,159653,0,1864825,1865094,241210,0,49237,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-MuWebSocketSessionImpl-L219_L220,167499,0,227940,228467,118326,118827,48523,0,149335,0,177504,177777,236643,0,48869,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-RestHandler-L142_L147,193538,194018,314070,314578,117950,118425,48933,0,272800,0,154537,0,183587,0,104273,0
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-PdfDocument-L1568_L1578,264338,264893,213413,213922,207642,208170,48204,0,978187,0,65427,65772,279044,0,108044,0
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-PdfDocument-L578_L585,297598,298110,199906,200452,253334,253837,48204,0,957538,958042,171479,171798,303811,304096,110081,0
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-PRTokeniser-L442_L457,348878,349369,115433,115939,127402,127910,46710,0,1024771,1025296,63934,64204,227196,0,105190,0
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-PushbuttonField-L520_L529,241601,242105,200425,200937,115599,116087,46494,0,115426,0,54039,0,259669,0,106847,0
alibaba-compileflow-e96a05224f71bf4aa3d9fb37bba85764b2fc153f-PluginManager-L226_L231,160452,0,63902,0,97650,0,36765,0,135415,0,47211,0,168006,0,102620,0
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-Hessian2Input-L2594_L2600,231082,231580,184973,185495,172138,172620,187032,0,973734,974244,39879,0,230795,0,102286,0
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-HessianDebugState-L588_L595,32342,0,32723,0,32194,0,32323,0,32241,0,42895,0,266595,266891,112005,112286
AwakenCN-InChat-329de8bc3042b49aeaeb816d38b56e9de4226049-NettyBootstrapServer-L98_L104,174282,174783,209616,210099,98880,99385,32120,0,630128,0,35133,0,33688,0,99233,0
axelhjalm-bitwig-midi-fighter-twister-a1ad3eecd81353437619818f3a0cf4db0519194b-VolumesPage-L55_L60,166691,167189,179352,179854,101052,101541,33634,0,864666,865175,35383,0,159186,0,92426,0
Azure-Samples-cassandra-proxy-f184bcaa612808ad9348a629330cc6bc94c13105-ProxyClient-L174_L183,168529,169011,169592,0,105800,106292,32913,0,978567,979069,35350,0,222758,0,95327,0
