project,all_mutants,smackEvo_mutants_killed,kex_mutants_killed,smackRC_mutants_killed,jdart_mutants_killed,jdoop_mutants_killed,exliDev_mutants_killed,exliEvo_mutants_killed,exliRC_mutants_killed
darmiel-eeee-f4114a3bf831ae88f6cca606f4d0f93ac09cc210-EntryMethod-L58_L63,1,0,0,0,0,0,0,0,0
datadotworld-dw-jdbc-ac4f7d8a457dce89cbaa9eb33994304e5504fda1-SparqlResultsParser-L68_L75,18,9,5,2,0,0,13,0,0
datadotworld-dw-jdbc-ac4f7d8a457dce89cbaa9eb33994304e5504fda1-SparqlResultsParser-L70_L72,4,4,4,2,0,0,3,0,0
davidmoten-aws-maven-plugin-e027d61b07cdc0e8b915217f1f6aca9b0f41011d-BeanstalkRemovePortsMojo-L103_L108,7,7,6,0,0,0,0,0,0
delthas-JavaMP3-8b42e48a549813b43c99db9fef525286c888a082-Decoder-L711_L714,98,33,86,8,0,89,84,0,0
demidenko05-beigesoft-accounting-0170596e736d3cc69f70c88ced3b9d78f63ddca1-InvoiceReportPdf-L142_L148,7,5,0,0,0,0,0,0,0
demidenko05-beigesoft-webstore-624d41d82547ff897ca5b3740d8d73cb2dacf052-PrcRefreshItemsInList-L776_L783,16,12,6,6,0,0,0,0,0
demidenko05-beigesoft-webstore-624d41d82547ff897ca5b3740d8d73cb2dacf052-PrcRefreshItemsInList-L798_L821,57,0,8,0,0,0,0,0,0
dingjs-javaagent-aa1cea60d0042f58977fb5d42c16afca92ad589d-Executor-L282_L293,59,47,45,0,0,5,0,0,0
dnsjava-dnsjava-206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095-LookupSession-L302_L306,2,1,1,0,0,0,1,1,0
domclick-kafka-logback-91d21ace796dd29ef953b86fcd7ebe55f43ca58d-KafkaAppender-L95_L104,34,28,10,12,0,0,12,12,0
erdtman-java-json-canonicalization-535ab0075405f6aafb96a4197f943838130666d3-NumberDToA-L461_L466,48,37,34,43,39,43,0,12,0
erdtman-java-json-canonicalization-535ab0075405f6aafb96a4197f943838130666d3-NumberDToA-L468_L473,57,44,47,48,48,48,0,53,0
erdtman-java-json-canonicalization-535ab0075405f6aafb96a4197f943838130666d3-NumberDToA-L523_L532,48,46,34,1,0,1,0,45,0
erdtman-java-json-canonicalization-535ab0075405f6aafb96a4197f943838130666d3-NumberDToA-L828_L839,84,77,3,2,0,39,0,29,0
errai-errai-d2edc4632373096f8d81c93f18cd874fa5501b90-JsTypeAntiInliningExtension-L94_L95,0,0,0,0,0,0,0,0,0
EsotericSoftware-yamlbeans-763726d51c99824218051e485e1b44f7477456fa-ScalarAnalysis-L154_L163,33,31,31,31,0,31,16,30,0
EsotericSoftware-yamlbeans-763726d51c99824218051e485e1b44f7477456fa-ScalarAnalysis-L88_L99,63,58,49,38,32,38,30,54,0
EsotericSoftware-yamlbeans-763726d51c99824218051e485e1b44f7477456fa-YamlReader-L350_L359,10,9,8,1,0,0,4,0,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L395_L406,70,64,61,54,0,65,0,63,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L431_L442,70,64,59,49,0,44,0,62,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L460_L471,69,64,61,59,0,59,0,58,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L497_L508,70,64,62,48,0,44,35,64,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L592_L607,76,69,67,22,0,46,0,68,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L631_L642,58,53,51,18,0,42,0,51,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L660_L671,57,52,50,18,0,52,0,49,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L697_L708,58,53,51,18,0,53,39,52,0
f4b6a3-uuid-creator-f9e6e6d02ecc8dac16a56e4fab1bd24caec8171c-TimeOrderedEpochFactory-L415_L416,23,0,0,0,0,0,0,0,0
f4b6a3-uuid-creator-f9e6e6d02ecc8dac16a56e4fab1bd24caec8171c-TimeOrderedEpochFactory-L431_L434,18,0,0,0,0,0,0,0,0
fabric8io-docker-maven-plugin-40371e754a6f3122af6d3019508c364627580935-AbstractDockerMojo-L496_L499,6,6,5,0,0,0,0,0,0
