project,new events,unique new events,new events in fragment,unique new events in fragment,new traces,unique new traces,new traces with events in fragment,unique new traces with events in fragment,new violations,new unique violation,new violations in fragment,new unique violation in fragment
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGFile-L78_L119,462,83,168,1,99,17,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGImageDecoder-L1098_L1108,275,75,70,4,7,7,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGImageDecoder-L1186_L1191,265,44,41,4,47,29,3,3,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGImageDecoder-L369_L477,466,56,15,3,93,42,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PNGImageDecoder-L527_L594,1391,130,92,5,54,27,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PreloaderTIFF-L145_L180,275,18,0,0,15,11,0,0,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSImageUtils-L186_L195,59651714,61,22,2,56,16,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSImageUtils-L231_L246,394,83,185,1,82,11,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSImageUtils-L249_L258,189724,74,34,2,72,16,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSImageUtils-L286_L290,661,46,18,2,24,16,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSImageUtils-L306_L318,1792,77,197,2,72,18,2,2,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSImageUtils-L349_L393,1299,9,10,1,9,7,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-PSResource-L97_L100,0,0,0,0,0,0,0,0,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFDirectory-L591_L598,124,6,0,0,6,6,0,0,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFImageEncoder-L247_L395,5057,228,216,3,9,9,1,1,0,0,0,0
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFImageEncoder-L951_L988,1934,97,92,1,97,6,1,1,0,0,0,0
