fragment,smackEvo,kex,smackRC,jdart,jdoop,exliDev,exliEvo,exliRC
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-LettuceExtension-L220_L228,0,0,0,0,0,0,0,0
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-RedisChannelHandler-L183_L190,0,8,4,0,0,7,0,0
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-RedisClusterClient-L1016_L1024,7,7,3,0,0,0,0,0
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-RedisClusterClient-L997_L1004,0,6,0,0,0,0,0,0
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-RedisURI-L926_L930,0,1,1,0,0,0,0,0
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-StatefulRedisConnectionImpl-L189_L191,0,0,0,0,0,0,0,0
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-StatefulRedisConnectionImpl-L220_L225,0,0,0,0,0,0,0,0
loehndorf-scengen-5e11067f76f5631a31b75f823cd3666a769b098f-Generator-L186_L195,8,0,0,0,0,8,0,0
logpresso-CVE-2021-44228-Scanner-35c37dd6941d6b77d103229302cadd473b97a816-Configuration-L348_L364,13,11,12,0,12,0,0,0
lzgabel-camunda-cloud-bpmn-converter-5a301723aa17c90a090c235f91d5491a1f7c249f-IntermediateCatchEventProcessor-L48_L61,7,6,7,0,7,0,0,0
magdel-MapNav-97c4f93f02a56aa1ce2b2ffc8d0cd41ed150e9b3-MapCanvas-L1732_L1734,0,0,0,0,0,0,0,0
magdel-MapNav-97c4f93f02a56aa1ce2b2ffc8d0cd41ed150e9b3-MapCanvas-L5412_L5414,0,0,0,0,0,0,0,0
magdel-MapNav-97c4f93f02a56aa1ce2b2ffc8d0cd41ed150e9b3-MapForms-L1022_L1049,26,20,0,0,0,0,0,0
mangstadt-biweekly-5baf97e7f64d1daf0c4f6277b3600021be28303e-RecurrenceIteratorFactory-L232_L233,5,5,3,0,0,5,0,0
MarkShen1992-Mashibing_High_Concurrency-f408144caf72de0391f6e271eec6b92021ab1ca4-TicketSeller2-L26_L34,3,3,3,0,3,0,0,0
MarkShen1992-Mashibing_High_Concurrency-f408144caf72de0391f6e271eec6b92021ab1ca4-TicketSeller4-L26_L33,6,6,6,0,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-Linker-L408_L417,0,2,2,0,2,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-Linker-L430_L442,11,9,9,0,9,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-NarCompileMojo-L352_L362,6,9,4,0,5,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-NarIntegrationTestMojo-L708_L718,0,0,0,0,0,0,0,0
maven-nar-nar-maven-plugin-e747b5ee080b243e0b817f722a43c9c203bb4df8-NarIntegrationTestMojo-L952_L955,0,0,0,0,0,0,0,0
maxmind-geoip-api-java-0ed8a38981512667533d47204486aae0278a1bc8-regionName-L11_L23,0,0,0,0,0,0,0,0
maxmind-geoip-api-java-0ed8a38981512667533d47204486aae0278a1bc8-timeZone-L33_L81,50,26,26,0,26,0,26,0
messai-engineering-Yuga-40b006970e6e9a1eb5fc13e739f22232c683a965-Yuga-L239_L245,12,5,6,0,0,12,11,9
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L118_L138,27,13,13,0,10,0,0,0
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L1699_L1708,15,15,6,0,6,0,0,0
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L1710_L1725,20,16,7,0,7,0,0,0
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L238_L255,25,23,14,0,14,0,0,16
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L3109_L3123,20,19,9,0,12,0,0,0
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L4177_L4190,24,24,20,0,19,0,0,0
mimno-Mallet-ff204eb8aa7f414e779f37843fb68b3e1fdc7015-SVD-L161_L168,12,11,11,0,8,0,12,12
mimno-Mallet-ff204eb8aa7f414e779f37843fb68b3e1fdc7015-SVD-L415_L417,8,1,8,0,1,0,8,8
mimno-Mallet-ff204eb8aa7f414e779f37843fb68b3e1fdc7015-SVD-L69_L78,12,11,11,0,0,0,12,12
mjsalerno-UnoBot-4ee2ef9abe11a299a434f9ea998b6dddd8a4b0aa-UnoBot-L576_L587,12,8,8,0,0,0,0,0
mojohaus-license-maven-plugin-b9ec9b85e32fa978b8bdd9aee018b0bf94a518fe-CalcFileWriter-L608_L620,11,4,4,0,0,11,0,0
mojohaus-license-maven-plugin-b9ec9b85e32fa978b8bdd9aee018b0bf94a518fe-ExcelFileWriter-L483_L495,11,4,4,0,0,11,0,0
monkeymq-jgossip-4bfc8e791381f70d62ea4ad6d8ae952da840dd0d-UDPMsgService-L97_L101,3,3,2,0,2,0,0,0
mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-AbstractParser-L324_L329,8,8,8,0,0,8,8,0
mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-ASMAccessorOptimizer-L1212_L1220,4,5,4,0,0,0,0,0
mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-ASMAccessorOptimizer-L1833_L1842,9,7,4,0,0,8,0,0
mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-ASMAccessorOptimizer-L1991_L1996,10,7,7,0,0,9,0,0
narupley-not-going-to-be-commons-ssl-346bb4e8481316687a643219800a398ecd8f62a8-PKCS8Key-L659_L695,19,0,0,0,12,23,0,0
Neop-mudmap2-070650853bc37663525f0d62fb54a029e364eafd-WorldFileJSON-L347_L362,12,2,2,0,2,11,11,0
nothingax-micro-DB-1bbae368f7670f94130606fa65bcbc8ccbb89b98-Aggregate-L74_L81,10,10,10,0,10,10,0,0
OpenLiberty-ci.common-b48d061d33b28b6dd5d48f52f25e032e3fc45614-DevUtil-L4311_L4320,0,6,3,0,5,0,0,0
openskynetwork-java-adsb-7d73726841d98357da360ea631bbe12d3def86cc-ModeSDecoder-L146_L152,2,5,2,0,2,7,0,0
OWASP-json-sanitizer-fc612ab374de73d03864d56fb87b6a103b234489-JsonSanitizer-L342_L350,8,6,8,6,8,10,8,0
OWASP-json-sanitizer-fc612ab374de73d03864d56fb87b6a103b234489-JsonSanitizer-L353_L362,10,7,8,7,7,10,7,0
package-url-packageurl-java-47351deccffb9394df42b913f59ffc00741af0b6-PackageURL-L419_L422,6,0,2,0,2,0,0,0
PawelGorny-lostword-8e66ab8737a5119a21cef6c948ae7b48f00fdb91-WorkerKnownPosition-L88_L102,0,0,0,0,0,0,0,0
PawelGorny-lostword-8e66ab8737a5119a21cef6c948ae7b48f00fdb91-WorkerPool-L77_L91,0,0,0,0,0,0,0,0
PawelGorny-lostword-8e66ab8737a5119a21cef6c948ae7b48f00fdb91-WorkerPrintSeeds-L97_L111,0,0,0,0,0,0,0,0
peterbencze-serritor-158939359c0b0608686afd34bba582c9157dd362-WebDriverFactory-L96_L104,10,8,0,0,0,0,0,0
PeterisP-morphology-1195adb7bb994292e5b06f2b20f4feb6191ca951-Mijas-L122_L125,0,2,0,0,0,3,0,0
PeterisP-morphology-1195adb7bb994292e5b06f2b20f4feb6191ca951-Mijas-L767_L774,2,2,0,0,0,3,0,0
pfmiles-min-velocity-4e8ec4f64681c1d6941bf8d90a51849e87b86cf5-ParserTokenManager-L4456_L4460,6,6,6,0,0,0,0,0
pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-StringInspector-L418_L424,10,10,8,0,0,0,0,0
pingcap-tidb-loadbalance-b1d62a4561fee7c525ae4c640a10f55c4702755b-StringInspector-L453_L463,11,10,11,8,0,0,0,0
PlayPen-playpen-core-dd867086481d93a439cb0270eaa7272bacf75493-FileProcessListener-L40_L45,7,6,2,0,2,0,0,0
PlayPen-playpen-core-dd867086481d93a439cb0270eaa7272bacf75493-FileProcessListener-L54_L59,7,7,2,0,2,0,0,0
PlayPen-playpen-core-dd867086481d93a439cb0270eaa7272bacf75493-Network-L376_L383,5,4,2,0,4,0,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-ExpressionParser-L173_L189,19,14,18,0,13,17,0,0
pvto-konte-art-03c969d8fd62ba3c7175a840e6a785049183f4b6-Parser-L611_L613,3,3,3,0,0,0,0,0
ripreal-V8LogScanner-3789156a0ab07c4b2cdd91e8165ca733ecc01905-CmdAddGroupBy-L26_L28,5,5,2,0,5,0,5,0
ripreal-V8LogScanner-3789156a0ab07c4b2cdd91e8165ca733ecc01905-LogBuilder-L656_L663,3,3,3,0,3,0,0,6
ripreal-V8LogScanner-3789156a0ab07c4b2cdd91e8165ca733ecc01905-LogBuilder-L667_L673,4,4,4,0,4,0,0,0
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L1019_L1024,6,6,6,6,6,0,6,0
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L1026_L1031,6,6,6,6,6,0,0,0
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L1033_L1038,6,6,6,6,0,0,0,0
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L600_L610,10,6,10,6,0,0,0,0
rythmengine-rythmengine-3439bd728c8e95927cea9146b5d6b59a30c3c516-Time-L972_L998,18,18,10,18,0,0,6,6
Sayi-swagger-diff-e6abc1483ec90859aeba9d9ad4e7fd0368352d47-ModelDiff-L130_L133,9,0,0,0,9,9,0,0
sbesada-java.math.expression.parser-cc92f58f6074b21cf6f5d4056b7f7cc5168f50af-ComplexFunction-L102_L107,11,5,7,0,5,0,0,0
sbesada-java.math.numerical.library-a2f18eda6de69c937183771d3b1f268e606a8871-FunctionX-L321_L326,9,7,9,0,9,0,9,8
sbesada-java.math.numerical.library-a2f18eda6de69c937183771d3b1f268e606a8871-FunctionXs-L414_L425,13,6,6,0,9,11,13,6
seansegal-tincisnotcatan-f7d098c51037cb586147c1bbd5b18c2239df7b32-PlaceInitialSettlement-L90_L97,8,0,5,0,0,0,0,0
smola-galimatias-0771a10ef5021181fc172b95ac39e9f4c7ada2e8-URLParser-L472_L479,7,6,6,6,7,7,6,0
sorra-TraceSonar-53ece361e0e14027d803ecbeb9f3fea76f7176ff-Traceback-L49_L55,10,10,6,0,0,0,0,0
SpringStudent-GyJdbc-0ca78eb623487f137d94eb719a94464d2d0cbbe8-SQL-L108_L114,7,0,2,0,0,7,7,7
spullara-java-future-jdk8-5925719802af19ccc6602651fc243b2ff3726b4b-CompletableFutureTest-L356_L364,0,0,0,0,0,0,0,0
sranka-jdbcimage-4b16de3a349a30e5d69633a0fea6e08d486392b9-MainToolBase-L387_L390,7,7,3,0,7,0,0,0
sranka-jdbcimage-4b16de3a349a30e5d69633a0fea6e08d486392b9-MultiTableConcurrentImport-L39_L44,5,2,2,0,2,0,0,0
StarlangSoftware-Corpus-c0b50a746e5179df1b236273bcf1ec6d1cc988c7-SentenceSplitter-L319_L362,24,8,9,9,16,9,36,0
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmMorphologicalAnalyzer-L419_L434,3,3,3,0,3,0,0,0
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmMorphologicalAnalyzer-L494_L502,5,4,3,0,3,0,0,0
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmParse-L615_L623,7,5,5,0,5,6,7,0
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-FsmParse-L631_L637,7,5,3,0,5,6,7,0
StarlangSoftware-TurkishMorphologicalAnalysis-26450b47db92b64580a2bfa4a0d7d0bce38edd49-Transition-L317_L330,7,3,5,0,3,8,0,0
StarlangSoftware-TurkishMorphologicalDisambiguation-bf8dbc2cd835c67178eb896939ad1009b6743486-AutoDisambiguator-L275_L281,4,0,4,0,4,6,0,0
StaticBeagle-ETK4J-393c622d01b9abfcead5c9c0973b4557173502e2-Bessel-L297_L300,6,3,3,0,6,6,6,6
StaticBeagle-ETK4J-393c622d01b9abfcead5c9c0973b4557173502e2-EigenvalueDecomposition-L520_L532,14,8,14,0,14,14,14,0
StaticBeagle-ETK4J-393c622d01b9abfcead5c9c0973b4557173502e2-EigenvalueDecomposition-L570_L576,14,13,11,0,10,14,14,0
STEMLab-JIneditor-ccca7bec12fe58583d25da0d13ae038b27d34424-CanvasPanel-L401_L417,15,0,6,0,8,0,0,0
streamx-co-ExTree-2cb6b78c0eb4dc25fa81f582641b5464779a93fa-ExpressionMethodVisitor-L435_L437,7,5,0,0,0,5,3,0
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L564_L564,3,3,0,0,0,0,0,0
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L566_L574,14,14,0,0,0,0,0,0
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L667_L668,4,4,0,0,0,4,0,0
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L746_L753,5,5,0,0,0,0,0,0
stupid1t-poi-excel-7f1834f1e0fa91bed24591ee43e89d95ec39de98-PoiResult-L80_L88,10,10,1,0,10,0,10,0
sylvainlaurent-swagger-validator-maven-plugin-980ad67cf33eb53ba27d44738bb8fe3aac3dba01-MimeTypeValidator-L75_L79,3,3,3,0,0,3,3,0
Thare-Lam-fast-elasticsearch-query-builder-bc6e2adf8333363929e68f3c8dc459c320101aef-AggregationHelper-L43_L54,10,4,1,0,1,4,0,0
TheHolyWaffle-TeamSpeak-3-Java-API-decd7c8bda74246ac9c0f704599cb4c272ba6181-CommandFuture-L792_L796,0,0,0,0,0,0,0,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L1397_L1403,12,6,0,8,0,12,12,0
ThreeTen-threetenbp-bdf97bf72f4e5af7ae3c3af1ea8e3407c1451341-DateTimeFormatterBuilder-L1476_L1485,7,4,0,4,0,7,7,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-CharacterClass-L507_L519,13,13,6,0,0,0,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-CharacterClass-L551_L564,14,14,11,0,0,0,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Matcher-L1423_L1427,12,12,11,0,0,0,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1129_L1141,14,14,11,0,0,0,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1146_L1159,16,16,13,0,0,13,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1242_L1246,8,8,6,0,0,6,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1462_L1464,5,5,2,0,0,0,5,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1474_L1476,5,5,2,0,0,0,5,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1618_L1626,12,9,4,0,0,0,5,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1633_L1635,5,5,2,0,0,0,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1650_L1653,7,7,2,0,0,0,7,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1841_L1850,11,11,7,0,0,11,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1895_L1912,23,0,17,0,0,0,0,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L1975_L2002,35,0,28,0,0,22,22,0
tommyettinger-RegExodus-48a8167a5dc1e381fc741fabd425965a22aa1503-Term-L521_L539,21,0,14,0,0,0,0,0
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Lexer-L1628_L1633,5,5,5,5,0,0,4,0
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser-L1146_L1155,0,10,9,0,0,0,0,0
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser-L2611_L2627,0,10,6,0,0,0,0,0
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser-L3663_L3671,11,10,9,0,0,0,0,0
tud-fop-j-Algo-f59fbbd9ccc3f41d6866fda44324622e2b47eef2-C00Parser-L4496_L4505,0,7,9,0,0,0,0,0
tvesalainen-bcc-8bfbb307418a422d57370b2df12fdfb1126f3407-ByteCodeDump-L428_L437,10,0,9,0,9,0,0,0
uber-common-jvm-profiler-07ecfce5bbae89cae1415296d4c6eb7cdd7b7dfa-DatadogOutputReporter-L43_L49,0,0,0,0,0,0,0,0
unitsofmeasurement-unit-ri-d412fc0b790d7c050dcfb2cba24a4316ece24b5c-DecimalFormat-L1895_L1900,9,0,6,0,0,0,7,0
unitsofmeasurement-unit-ri-d412fc0b790d7c050dcfb2cba24a4316ece24b5c-DecimalFormat-L1927_L1931,10,0,8,0,0,0,0,0
unitsofmeasurement-unit-ri-d412fc0b790d7c050dcfb2cba24a4316ece24b5c-DecimalFormat-L1941_L1946,9,0,6,0,0,0,9,0
vangj-jbayes-4f3a542a4cab356b2b4a3d5d735ae0346429ef2d-Evidence-L259_L263,6,6,4,0,6,6,0,0
vangj-jbayes-4f3a542a4cab356b2b4a3d5d735ae0346429ef2d-Evidence-L267_L267,3,3,2,0,3,3,0,0
vangj-jbayes-4f3a542a4cab356b2b4a3d5d735ae0346429ef2d-Table-L40_L51,12,8,8,0,12,13,0,0
vincentrussell-java-ini-parser-954dd3836aa39dd170202f95e356da1eb86c894d-Ini-L153_L156,5,0,5,0,0,0,0,0
vizor-games-infraworld-cornerstone-2f8c792393fd8bbfc09d5bfdd36114230f64aa5c-CastGenerator-L242_L252,5,5,4,0,0,0,0,0
vizor-games-infraworld-cornerstone-2f8c792393fd8bbfc09d5bfdd36114230f64aa5c-NestedTypesRemover-L117_L128,2,5,2,0,0,0,0,0
vmzakharov-dataframe-ec-b5cef516c1f02207399f751ba922f9e5347f8f3c-DoubleFormatter-L33_L42,0,0,0,0,0,4,0,4
vmzakharov-dataframe-ec-b5cef516c1f02207399f751ba922f9e5347f8f3c-LongFormatter-L33_L43,0,0,0,0,0,4,0,4
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-KeyMapper-L62_L62,4,4,0,0,3,4,0,0
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-MetaDataParser-L126_L134,8,5,0,0,0,9,7,0
wso2-config-mapper-353b0829d3bf3dae92312dea6ff1dddff9a74fe6-Validator-L154_L160,7,6,0,0,6,6,0,0
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-ProblemDataHandler-L176_L181,5,8,5,0,0,0,0,0
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-ProblemDataHandler-L186_L192,6,9,6,0,0,0,0,0
xcsp3team-XCSP3-Java-Tools-1567b06e77cb2a8b73a1ce65e4773cbf08f59ce0-XParser-L331_L339,9,0,4,0,0,0,0,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-ChineseWordTokenizer-L139_L141,4,0,2,0,4,0,0,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-ChineseWordTokenizer-L148_L150,4,0,2,0,4,0,0,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-DictionaryFactory-L211_L220,10,0,7,0,7,0,0,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-DictionaryTools-L101_L113,8,0,3,0,3,0,0,0
ysc-word-daa57fa34645e39c6e0214d1f4698134963b65be-PureEnglish-L82_L88,0,0,7,0,0,0,6,6
yuch7-cwlexec-08b3e8ac1017f5a43d4d33699d1c9d4cb32a89e1-IOUtil-L469_L475,4,3,3,0,4,4,0,0
Zettelkasten-Team-Zettelkasten-b68dc7638b9f9287c9528d4171a9014e8ba3eed3-ImportFromZkn-L621_L638,11,4,8,0,9,0,0,0
Zettelkasten-Team-Zettelkasten-b68dc7638b9f9287c9528d4171a9014e8ba3eed3-ImportFromZkn-L771_L806,19,5,7,0,5,0,0,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http1Connection-L128_L134,6,7,0,0,0,6,0,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http1Connection-L176_L182,8,8,0,0,0,0,0,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http1Connection-L97_L108,3,4,0,0,0,0,0,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-MuWebSocketSessionImpl-L219_L220,0,4,3,0,0,0,0,0
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-RestHandler-L142_L147,2,4,2,0,0,0,0,0
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-PdfDocument-L1568_L1578,18,15,12,0,0,18,0,0
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-PdfDocument-L578_L585,10,6,7,0,7,11,7,0
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-PRTokeniser-L442_L457,14,14,3,0,7,10,0,0
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-PushbuttonField-L520_L529,10,8,4,0,0,0,0,0
alibaba-compileflow-e96a05224f71bf4aa3d9fb37bba85764b2fc153f-PluginManager-L226_L231,0,0,0,0,0,0,0,0
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-Hessian2Input-L2594_L2600,4,4,4,0,4,0,0,0
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-HessianDebugState-L588_L595,0,0,0,0,0,0,0,0
AwakenCN-InChat-329de8bc3042b49aeaeb816d38b56e9de4226049-NettyBootstrapServer-L98_L104,0,0,0,0,0,0,0,0
axelhjalm-bitwig-midi-fighter-twister-a1ad3eecd81353437619818f3a0cf4db0519194b-VolumesPage-L55_L60,6,6,6,0,6,0,0,0
Azure-Samples-cassandra-proxy-f184bcaa612808ad9348a629330cc6bc94c13105-ProxyClient-L174_L183,5,0,5,0,5,0,0,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-Codec-L269_L281,0,14,14,0,0,0,0,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-idMatX-L5969_L5984,0,0,0,0,0,0,0,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-Parser-L2344_L2368,0,0,0,0,0,0,0,0
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-snd_world-L1522_L1526,0,0,0,0,0,0,0,0
cellsrg-tabbypdf-def8bb08e7733a9b87e593cb5363ef82581628c1-PdfDataExtractor-L101_L106,0,0,0,0,0,0,0,0
codelibs-jcifs-c9ad4eeaf763ad764cb485c4149a0b236eaa7d3e-SmbSessionImpl-L898_L902,3,3,3,0,0,0,0,0
codelibs-jcifs-c9ad4eeaf763ad764cb485c4149a0b236eaa7d3e-SmbSessionImpl-L949_L955,2,4,0,0,0,0,0,0
dakusui-jcunit-5e081ae71f7e1ab8326aed77612a97c983c9dc06-IpoGplus-L201_L201,0,0,0,0,0,0,0,0
dakusui-jcunit-5e081ae71f7e1ab8326aed77612a97c983c9dc06-Joiner-L322_L327,0,0,0,0,0,0,0,0
delthas-JavaMP3-8b42e48a549813b43c99db9fef525286c888a082-Decoder-L648_L660,12,11,10,0,12,0,0,0
graphstream-gs-core-950b87280075f92a85b564b47ce6522ced5ba53a-GraphDiff-L203_L210,0,0,0,0,0,0,0,0
graphstream-gs-core-950b87280075f92a85b564b47ce6522ced5ba53a-GraphDiff-L214_L215,0,0,0,0,0,0,0,0
HelixNetwork-pendulum-919ae1df7ca4359aad6b9a4575beb9d3ca4de8ef-RocksDBPersistenceProvider-L295_L302,0,8,0,0,0,0,0,0
inversoft-restify-8522579dded221db5c3822274ecd11a2b6426082-FormDataBodyHandler-L156_L162,0,0,0,0,0,0,0,0
iris-edu-stationxml-seed-converter-7526c0b8fd214af02a767142d97638e7bc129dd9-SeedToXmlDocumentConverter-L129_L135,0,0,0,0,0,0,0,0
JoonasVali-jartin-d54d145b05666c9e5661fd27ab4c128eb05f1c9f-Stamp-L67_L71,0,0,0,0,0,0,0,0
LHNCBC-metamaplite-3eac19c131c1c24c16a8e279d171c3747bd1fc76-MetaMapLite-L1588_L1607,0,0,0,0,0,0,0,0
meteoinfo-wContour-dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6-Contour-L270_L317,61,24,24,0,24,0,0,10
mimno-Mallet-ff204eb8aa7f414e779f37843fb68b3e1fdc7015-SimpleTaggerWithConstraints-L439_L445,3,0,3,0,0,0,0,0
mimno-Mallet-ff204eb8aa7f414e779f37843fb68b3e1fdc7015-Vectors2Classify-L268_L274,0,2,2,0,2,0,0,0
msemys-esjc-2953c0bbdb6192502a786f47873aed8ab0ef9c93-EventStoreTcp-L867_L868,0,0,0,0,0,0,0,0
msemys-esjc-2953c0bbdb6192502a786f47873aed8ab0ef9c93-IdentificationHandler-L91_L92,1,1,1,0,1,0,0,0
mvel-mvel-236d37bc78a158553592afedbbf1aa27815efb78-MathProcessor-L350_L364,0,0,0,0,0,8,7,0
pmlopes-aws-lambda-native-vertx-46ebe9755ea5c0f8473db95e21dc7d0c556ad230-LambdaBootstrap-L119_L127,0,0,0,0,0,0,0,0
redis-lettuce-761d60247159662ce1db8bc20318bc4b573bc010-StatefulRedisConnectionImpl-L203_L214,0,0,0,0,0,0,0,0
remondis-it-pact-consumer-builder-4350f58d646d7aade31dc1caed7fb380b9cd143e-ConsumerBuilderImpl-L241_L242,0,0,0,0,0,0,0,0
streamx-co-ExTree-2cb6b78c0eb4dc25fa81f582641b5464779a93fa-Interpreter-L383_L420,0,0,0,0,0,0,0,0
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L809_L811,0,0,0,0,0,0,0,0
streamx-co-FluentJPA-064ce0b468b63fa07aecb0cfc2d352108af1cb40-DSLInterpreter-L815_L820,3,3,0,0,0,9,0,0
SvenEwald-xmlbeam-84a2a91c216622c611a948d88792c846b532aa0a-ExpressionTypeEvaluationVisitor-L136_L152,0,0,0,0,0,0,0,0
swtcpro-jingtum-lib-java-793e75b9d350ae7385551191bf0b75b307d05354-Remote-L537_L545,3,3,3,0,0,0,0,0
toolbox4minecraft-amidst-86ffd6004a3ab2a88b9325de420a596665f0df75-FragmentQueueProcessor-L69_L75,7,7,6,0,0,0,0,0
