fragment,smackEvo,kex,smackRC,jdart,jdoop,exliDev,exliEvo,exliRC
chengdedeng-waf-9ba9a18857154830a35e3b10d111d025208f73ef-ZkClusterService-L225_L229,7,4,3,0,0,0,0,0
chengdedeng-waf-9ba9a18857154830a35e3b10d111d025208f73ef-ZkClusterService-L253_L257,7,4,3,0,0,0,0,0
chengdedeng-waf-9ba9a18857154830a35e3b10d111d025208f73ef-ZkClusterService-L287_L294,7,5,3,0,0,0,0,0
codeine-cd-codeine-355463b17c671925bc8bd3951dabb98a150dfe36-HealthServlet-L32_L37,6,2,1,0,1,0,0,0
darmiel-eeee-f4114a3bf831ae88f6cca606f4d0f93ac09cc210-EntryMethod-L58_L63,6,6,6,0,0,0,0,0
datadotworld-dw-jdbc-ac4f7d8a457dce89cbaa9eb33994304e5504fda1-SparqlResultsParser-L68_L75,6,6,6,0,0,8,0,0
datadotworld-dw-jdbc-ac4f7d8a457dce89cbaa9eb33994304e5504fda1-SparqlResultsParser-L70_L72,4,5,3,0,0,5,0,0
davidmoten-aws-maven-plugin-e027d61b07cdc0e8b915217f1f6aca9b0f41011d-BeanstalkRemovePortsMojo-L103_L108,7,7,2,0,2,0,0,0
delthas-JavaMP3-8b42e48a549813b43c99db9fef525286c888a082-Decoder-L711_L714,4,4,3,0,4,4,0,0
demidenko05-beigesoft-accounting-0170596e736d3cc69f70c88ced3b9d78f63ddca1-InvoiceReportPdf-L142_L148,9,5,5,0,0,0,0,0
demidenko05-beigesoft-webstore-624d41d82547ff897ca5b3740d8d73cb2dacf052-PrcRefreshItemsInList-L776_L783,9,6,6,0,0,0,0,0
demidenko05-beigesoft-webstore-624d41d82547ff897ca5b3740d8d73cb2dacf052-PrcRefreshItemsInList-L798_L821,0,10,0,0,0,0,0,0
dingjs-javaagent-aa1cea60d0042f58977fb5d42c16afca92ad589d-Executor-L282_L293,14,14,3,0,5,0,0,0
dnsjava-dnsjava-206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095-LookupSession-L302_L306,3,3,0,0,0,3,3,0
domclick-kafka-logback-91d21ace796dd29ef953b86fcd7ebe55f43ca58d-KafkaAppender-L95_L104,7,6,6,0,0,7,7,0
erdtman-java-json-canonicalization-535ab0075405f6aafb96a4197f943838130666d3-NumberDToA-L461_L466,9,9,9,9,9,0,7,0
erdtman-java-json-canonicalization-535ab0075405f6aafb96a4197f943838130666d3-NumberDToA-L468_L473,9,9,9,9,9,0,9,0
erdtman-java-json-canonicalization-535ab0075405f6aafb96a4197f943838130666d3-NumberDToA-L523_L532,11,8,3,0,3,0,10,0
erdtman-java-json-canonicalization-535ab0075405f6aafb96a4197f943838130666d3-NumberDToA-L828_L839,16,8,7,0,10,0,10,0
errai-errai-d2edc4632373096f8d81c93f18cd874fa5501b90-JsTypeAntiInliningExtension-L94_L95,0,0,0,0,0,0,0,0
EsotericSoftware-yamlbeans-763726d51c99824218051e485e1b44f7477456fa-ScalarAnalysis-L154_L163,20,20,20,0,20,15,20,0
EsotericSoftware-yamlbeans-763726d51c99824218051e485e1b44f7477456fa-ScalarAnalysis-L88_L99,14,12,9,9,9,7,14,0
EsotericSoftware-yamlbeans-763726d51c99824218051e485e1b44f7477456fa-YamlReader-L350_L359,9,6,4,0,0,9,0,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L395_L406,12,12,10,0,12,0,12,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L431_L442,12,12,9,0,9,0,12,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L460_L471,12,12,11,0,11,0,12,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L497_L508,12,12,9,0,9,8,12,0
EXIficient-exificient-core-fce10c39fe654c9ae9660454ac6d6d2abc6a48ac-FidelityOptions-L592_L607,14,14,10,0,12,0,14,0
